2026/9/10 包包专用,#genre#
//更新地址：https://fofa.info/result?qbase64=dWRweHkmJmNpdHk9Ikhhbmd6aG91Ig%3D%3D
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8


浙江电信,#genre#
凤凰中文,http://47.117.0.151:1103/udp/233.50.202.35:5140
凤凰资讯,http://47.117.0.151:1103/udp/233.50.202.36:5140
CCTV1综合,http://47.117.0.151:1103/udp/233.50.201.118:5140
CCTV2财经,http://47.117.0.151:1103/udp/233.50.201.119:5140
CCTV3综艺,http://47.117.0.151:1103/udp/233.50.201.196:5140
CCTV4中文国际,http://47.117.0.151:1103/udp/233.50.202.38:5140
CCTV5体育,http://47.117.0.151:1103/udp/233.50.201.197:5140
CCTV5+体育赛事,http://47.117.0.151:1103/udp/233.50.201.220:5140
CCTV6电影,http://47.117.0.151:1103/udp/233.50.201.198:5140
CCTV7国防军事,http://47.117.0.151:1103/udp/233.50.201.120:5140
CCTV8电视剧,http://47.117.0.151:1103/udp/233.50.201.199:5140
CCTV9纪录,http://47.117.0.151:1103/udp/233.50.201.121:5140
CCTV10科教,http://47.117.0.151:1103/udp/233.50.201.122:5140
CCTV11戏曲,http://47.117.0.151:1103/udp/233.50.202.39:5140
CCTV12社会与法,http://47.117.0.151:1103/udp/233.50.201.123:5140
CCTV13新闻,http://47.117.0.151:1103/udp/233.50.201.246:5140
CCTV14少儿,http://47.117.0.151:1103/udp/233.50.201.124:5140
CCTV15音乐,http://47.117.0.151:1103/udp/233.50.202.40:5140
CCTV16奥林匹克,http://47.117.0.151:1103/udp/233.50.201.192:5140
CCTV17农业农村,http://47.117.0.151:1103/udp/233.50.200.113:5140
CCTV16奥林匹克4K,http://47.117.0.151:1103/udp/233.50.201.63:5140
CCTV4K超高清,http://47.117.0.151:1103/udp/233.50.201.226:5140
浙江卫视4K,http://47.117.0.151:1103/udp/233.50.202.104:5140
北京卫视4K,http://47.117.0.151:1103/udp/233.50.202.100:5140
广东卫视4K,http://47.117.0.151:1103/udp/233.50.202.101:5140
深圳卫视4K,http://47.117.0.151:1103/udp/233.50.202.102:5140
欢笑剧场4K,http://47.117.0.151:1103/udp/233.50.200.52:5140
BesTV-1,http://47.117.0.151:1103/udp/233.50.200.182:5140
BesTV-2,http://47.117.0.151:1103/udp/233.50.200.183:5140
BesTV-3,http://47.117.0.151:1103/udp/233.50.200.185:5140
浙江卫视,http://47.117.0.151:1103/udp/233.50.201.100:5140
深圳卫视,http://47.117.0.151:1103/udp/233.50.201.101:5140
广东卫视,http://47.117.0.151:1103/udp/233.50.201.102:5140
湖南卫视,http://47.117.0.151:1103/udp/233.50.201.103:5140
天津卫视,http://47.117.0.151:1103/udp/233.50.201.104:5140
山东卫视,http://47.117.0.151:1103/udp/233.50.201.105:5140
江苏卫视,http://47.117.0.151:1103/udp/233.50.201.106:5140
北京卫视,http://47.117.0.151:1103/udp/233.50.201.107:5140
纪实科教,http://47.117.0.151:1103/udp/233.50.202.34:5140
四川卫视,http://47.117.0.151:1103/udp/233.50.201.139:5140
河北卫视,http://47.117.0.151:1103/udp/233.50.201.140:5140
辽宁卫视,http://47.117.0.151:1103/udp/233.50.201.141:5140
贵州卫视,http://47.117.0.151:1103/udp/233.50.201.142:5140
重庆卫视,http://47.117.0.151:1103/udp/233.50.201.143:5140
河南卫视,http://47.117.0.151:1103/udp/233.50.201.144:5140
江西卫视,http://47.117.0.151:1103/udp/233.50.201.145:5140
东南卫视,http://47.117.0.151:1103/udp/233.50.201.146:5140
安徽卫视,http://47.117.0.151:1103/udp/233.50.201.113:5140
湖北卫视,http://47.117.0.151:1103/udp/233.50.201.114:5140
黑龙江卫视,http://47.117.0.151:1103/udp/233.50.201.115:5140
东方卫视,http://47.117.0.151:1103/udp/233.50.201.125:5140
甘肃卫视,http://47.117.0.151:1103/udp/233.50.200.163:5140
海南卫视,http://47.117.0.151:1103/udp/233.50.200.165:5140
广西卫视,http://47.117.0.151:1103/udp/233.50.200.136:5140
云南卫视,http://47.117.0.151:1103/udp/233.50.200.115:5140
吉林卫视,http://47.117.0.151:1103/udp/233.50.202.42:5140
三沙卫视,http://47.117.0.151:1103/udp/233.50.200.175:5140
内蒙古卫视,http://47.117.0.151:1103/udp/233.50.201.148:5140
青海卫视,http://47.117.0.151:1103/udp/233.50.201.65:5140
西藏卫视,http://47.117.0.151:1103/udp/233.50.202.43:5140
陕西卫视,http://47.117.0.151:1103/udp/233.50.201.59:5140
兵团卫视,http://47.117.0.151:1103/udp/233.50.202.44:5140
山西卫视,http://47.117.0.151:1103/udp/233.50.201.51:5140
宁夏卫视,http://47.117.0.151:1103/udp/233.50.202.45:5140
新疆卫视,http://47.117.0.151:1103/udp/233.50.202.46:5140
延边卫视,http://47.117.0.151:1103/udp/233.50.200.184:5140
中国教育1台,http://47.117.0.151:1103/udp/233.50.200.169:5140
中国教育4台,http://47.117.0.151:1103/udp/233.50.200.162:5140
卡酷少儿,http://47.117.0.151:1103/udp/233.50.202.33:5140
哈哈炫动,http://47.117.0.151:1103/udp/233.50.200.167:5140
金鹰卡通,http://47.117.0.151:1103/udp/233.50.201.73:5140
CGTN,http://47.117.0.151:1103/udp/233.50.201.126:5140
CGTN西班牙语,http://47.117.0.151:1103/udp/233.50.201.36:5140
CGTN法语,http://47.117.0.151:1103/udp/233.50.201.37:5140
CGTN阿拉伯语,http://47.117.0.151:1103/udp/233.50.201.38:5140
CGTN俄罗斯语,http://47.117.0.151:1103/udp/233.50.201.39:5140
钱江频道,http://47.117.0.151:1103/udp/233.50.201.132:5140
浙江经济生活,http://47.117.0.151:1103/udp/233.50.201.133:5140
浙江教科影视,http://47.117.0.151:1103/udp/233.50.201.134:5140
浙江民生休闲,http://47.117.0.151:1103/udp/233.50.201.136:5140
浙江公共新闻,http://47.117.0.151:1103/udp/233.50.201.137:5140
浙江少儿,http://47.117.0.151:1103/udp/233.50.201.138:5140
之江纪录,http://47.117.0.151:1103/udp/233.50.202.25:5140
杭州1综合,http://47.117.0.151:1103/udp/233.50.201.173:5140
杭州2明珠,http://47.117.0.151:1103/udp/233.50.201.174:5140
杭州3生活,http://47.117.0.151:1103/udp/233.50.201.175:5140
杭州4影视,http://47.117.0.151:1103/udp/233.50.201.176:5140
杭州5青少,http://47.117.0.151:1103/udp/233.50.201.177:5140
杭州导视,http://47.117.0.151:1103/udp/233.50.201.182:5140
临平新闻,http://47.117.0.151:1103/udp/233.50.202.32:5140
余杭新闻,http://47.117.0.151:1103/udp/233.50.201.159:5140
宁波1新闻,http://47.117.0.151:1103/udp/233.50.201.168:5140
宁波2经济,http://47.117.0.151:1103/udp/233.50.201.178:5140
宁波3文体,http://47.117.0.151:1103/udp/233.50.201.179:5140
宁波4影视,http://47.117.0.151:1103/udp/233.50.201.180:5140
温州新闻综合,http://47.117.0.151:1103/udp/233.50.201.87:5140
绍兴新闻综合,http://47.117.0.151:1103/udp/233.50.201.156:5140
湖州新闻综合,http://47.117.0.151:1103/udp/233.50.201.158:5140
金华新闻综合,http://47.117.0.151:1103/udp/233.50.201.161:5140
丽水新闻综合,http://47.117.0.151:1103/udp/233.50.201.162:5140
嘉兴新闻综合,http://47.117.0.151:1103/udp/233.50.201.163:5140
桐乡新闻综合,http://47.117.0.151:1103/udp/233.50.201.169:5140
衢州新闻综合,http://47.117.0.151:1103/udp/233.50.202.11:5140
衢州公共,http://47.117.0.151:1103/udp/233.50.202.12:5140
欢笑剧场,http://47.117.0.151:1103/udp/233.50.201.189:5140
都市剧场,http://47.117.0.151:1103/udp/233.50.201.190:5140
法制天地,http://47.117.0.151:1103/udp/233.50.201.191:5140
动漫秀场,http://47.117.0.151:1103/udp/233.50.201.184:5140
游戏风云,http://47.117.0.151:1103/udp/233.50.201.183:5140
乐游,http://47.117.0.151:1103/udp/233.50.201.185:5140
金色学堂,http://47.117.0.151:1103/udp/233.50.201.186:5140
生活时尚,http://47.117.0.151:1103/udp/233.50.201.187:5140
茶频道,http://47.117.0.151:1103/udp/233.50.201.188:5140
快乐垂钓,http://47.117.0.151:1103/udp/233.50.201.109:5140
睛彩竞技,http://47.117.0.151:1103/udp/233.50.202.26:5140
睛彩篮球,http://47.117.0.151:1103/udp/233.50.202.27:5140
